승인일시,카드번호,가맹점명,업종,승인금액,공급가액,부가세,통화,해외이용금액,승인번호,사용자,취소여부
2026-07-31 23:47:10,9410,이마트 성수점,대형마트,92000,83636,8364,KRW,,31011203,김규은,N
2026-08-03 09:12:44,9410,모두의주차장 강남점,주차장,9000,8182,818,KRW,,31025610,이지은,N
2026-08-04 12:20:15,9410,스타벅스 강남역점,커피전문점,6100,5545,555,KRW,,31032204,박서준,N
2026-08-04 15:47:02,9410,스타벅스 강남역점,커피전문점,24800,22545,2255,KRW,,31032881,박서준,N
2026-08-06 10:05:33,9410,SPOTIFY,디지털콘텐츠,15680,,,USD,11.20,31048820,김규은,N
2026-08-08 20:30:00,9410,법무법인 해온,법률서비스,550000,500000,50000,KRW,,31071455,박서준,N
2026-08-11 14:22:19,9410,GITHUB.COM,디지털콘텐츠,6600,,,USD,44.00,31090012,이지은,N
2026-08-14 13:00:00,9410,한우마을 선릉점,일반음식점,210000,190909,19091,KRW,,31108820,김규은,N
2026-08-14 13:00:00,9410,한우마을 선릉점,일반음식점,210000,190909,19091,KRW,,31108820,김규은,Y
2026-08-17 21:10:05,9410,강남 노래연습장,유흥,132000,120000,12000,KRW,,31126604,박서준,N
2026-08-18 19:20:11,9410,CU 학동역점,편의점,9800,8909,891,KRW,,31131290,김규은,N
2026-08-21 23:58:47,9410,배달의민족,배달중개,27800,25273,2527,KRW,,31150118,이지은,N
2026-08-24 11:15:00,9410,APPLE.COM/BILL,디지털콘텐츠,42000,,,USD,30.00,31168830,이지은,N
2026-08-27 08:40:00,9410,카카오T,운수,13200,12000,1200,KRW,,31182204,박서준,N
2026-09-01 00:08:19,9410,이마트24 논현점,편의점,4300,3909,391,KRW,,31201007,김규은,N
