KB국민카드 이용대금명세서
회원명: 김규은   결제일: 2026-09-15
조회기간: 2026.08.01 ~ 2026.08.31

이용일,이용하신곳,이용카드,이용금액,할부,적립예정포인트
2026.08.02,"스타벅스 역삼점",5678,"5,600",일시불,56
2026.08.05,"이마트24 논현점",5678,"7,200",일시불,72
2026.08.05,"이마트24 논현점",5678,"7,200",일시불,72
2026.08.09,"메가박스 왕십리",5678,"28,000",일시불,280
2026.08.13,"EBAY.COM 54.20 USD",5678,"76,510",일시불,0
2026.08.16,"LG전자 베스트샵 강남점",5678,"1,290,000",04개월,1290
2026.08.20,"올리브영 강남역점",5678,"38,900",일시불,389
2026.08.23,"교촌치킨 논현점",5678,"26,000",일시불,260
2026.08.27,"쿠팡",5678,"-18,700",일시불,0
합계,,,"1,460,710",,
※ 본 명세서는 고객 편의를 위해 제공되며 실제 청구금액과 다를 수 있습니다.
