KB국민카드 이용대금명세서
회원명: 김규은   결제일: 2026-07-15
조회기간: 2026.06.01 ~ 2026.06.30

이용일,이용하신곳,이용카드,이용금액,할부,적립예정포인트
2026.06.03,"스타벅스 역삼점",5678,"9,800",일시불,98
2026.06.06,"이마트24 본점앞점",5678,"7,200",일시불,72
2026.06.06,"이마트24 본점앞점",5678,"7,200",일시불,72
2026.06.09,"메가박스 코엑스",5678,"28,000",일시불,280
2026.06.11,"EBAY.COM 54.20 USD",5678,"75,800",일시불,0
2026.06.14,"LG전자 베스트샵 강남본점",5678,"2,520,000",03개월,2520
2026.06.19,"올리브영 강남역점",5678,"36,400",일시불,364
2026.06.23,"교촌치킨 논현점",5678,"23,000",일시불,230
2026.06.27,"쿠팡 부분환불",5678,"-18,900",일시불,0
합계,,,"2,688,500",,
※ 본 명세서는 고객 편의를 위해 제공되며 실제 청구금액과 다를 수 있습니다.
