승인일시,카드번호,가맹점명,업종,승인금액,공급가액,부가세,통화,해외이용금액,승인번호,사용자,취소여부
2026-05-31 23:47:33,9410,이마트 트레이더스 월계점,대형마트,96500,87727,8773,KRW,,30498211,김규은,N
2026-06-02 09:21:14,9410,모두의주차장 강남점,주차장,12000,10909,1091,KRW,,30501822,김규은,N
2026-06-04 12:33:41,9410,스타벅스 테헤란로점,커피전문점,19600,17818,1782,KRW,,30508934,이지은,N
2026-06-08 10:05:22,9410,오피스디포 역삼점,사무용품,132500,120454,12046,KRW,,30522190,김규은,N
2026-06-10 20:15:09,9410,NETFLIX.COM,디지털콘텐츠,18150,,,USD,12.99,30531405,이지은,N
2026-06-12 11:30:57,9410,교보문고 강남점,서적,58200,52909,5291,KRW,,30539871,박서준,N
2026-06-13 09:02:00,9410,KTX 코레일,운수,51400,46727,4673,KRW,,30544245,박서준,N
2026-06-14 19:05:37,9410,CU 학동역점,편의점,12400,11272,1128,KRW,,30548812,김규은,N
2026-06-16 22:41:18,9410,GITHUB.COM,클라우드,6160,,,USD,44.00,30556913,김규은,N
2026-06-18 12:40:27,9410,한우마을 선릉점,일반음식점,214000,194545,19455,KRW,,30563602,이지은,N
2026-06-18 12:40:27,9410,한우마을 선릉점,일반음식점,214000,194545,19455,KRW,,30563602,이지은,Y
2026-06-23 10:11:36,9410,법무법인 해온,법률서비스,330000,300000,30000,KRW,,30581028,박서준,N
2026-06-30 23:55:41,9410,배달의민족,배달중개,28400,25818,2582,KRW,,30598514,이지은,N
2026-07-01 00:08:09,9410,카카오T,운수,13800,12545,1255,KRW,,30598902,이지은,N
